wazaNo	isValid	type	category	damageType	power	hitPer	basePP	priority	hitCountMax	hitCountMin	sickID	sickPer	sickCont	sickTurnMin	sickTurnMax	criticalRank	shrinkPer	aiSeqNo	damageRecoverRatio	hpRecoverRatio	target	rankEffType1	rankEffType2	rankEffType3	rankEffValue1	rankEffValue2	rankEffValue3	rankEffPer1	rankEffPer2	rankEffPer3	flags	contestWazaNo
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	30
2	0	1	0	1	50	100	25	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
3	0	0	0	1	15	85	10	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131145	0
4	0	0	0	1	18	85	15	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	131273	0
5	1	0	0	1	80	85	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131273	37
6	1	0	0	1	40	100	20	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	131144	31
7	1	9	4	1	75	100	15	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	131273	38
8	1	14	4	1	75	100	15	0	0	0	3	10	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	131273	38
9	1	12	4	1	75	100	15	0	0	0	1	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	131273	38
10	1	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	30
11	1	0	0	1	55	100	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	36
12	1	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	131145	2
13	0	0	0	2	80	100	10	0	0	0	0	0	0	0	0	1	0	39	0	0	5	0	0	0	0	0	0	0	0	0	131146	0
14	1	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	50	0	0	7	1	0	0	2	0	0	0	0	0	196640	9
15	1	0	0	1	50	95	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	37
16	1	2	0	2	40	100	35	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	133192	33
17	1	2	0	1	60	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133193	36
18	1	0	12	0	0	101	20	-6	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	172112	0
19	1	2	0	1	90	95	15	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	133707	26
20	1	0	4	1	15	85	20	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	131145	21
21	1	0	0	1	80	75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147529	37
22	1	11	0	1	45	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	36
23	1	0	0	1	65	100	20	0	0	0	0	0	0	0	0	0	30	150	0	0	0	0	0	0	0	0	0	0	0	0	147529	38
24	1	1	0	1	30	100	30	0	2	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	131145	24
25	1	0	0	1	120	75	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131145	44
