valid_flag	id	monsno	form_index	form_max	color	gra_no	basic_hp	basic_atk	basic_def	basic_agi	basic_spatk	basic_spdef	type1	type2	get_rate	rank	exp_value	item1	item2	item3	sex	egg_birth	initial_friendship	egg_group1	egg_group2	grow	tokusei1	tokusei2	tokusei3	give_exp	height	weight	chihou_zukan_no	machine1	machine2	machine3	machine4	hiden_machine	egg_monsno	egg_formno	egg_formno_kawarazunoishi	egg_form_inherit_kawarazunoishi
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	1	3	1	45	49	49	45	65	65	11	3	45	1	256	0	0	0	31	20	50	1	7	3	65	65	34	64	70	69	0	2150467360	36706824	2455897120	2	0	1	0	0	0
1	2	2	0	1	3	2	60	62	63	60	80	80	11	3	45	2	1280	0	0	0	31	20	50	1	7	3	65	65	34	142	100	130	0	2150467360	36706824	2455897120	2	0	1	0	0	0
1	3	3	0	1	3	3	80	82	83	80	100	100	11	3	45	3	1536	0	0	0	31	20	50	1	7	3	65	65	34	263	200	1000	0	2184038192	36706824	2456159272	10	1	1	0	0	0
1	4	4	0	1	0	4	39	52	43	65	60	50	9	9	45	1	64	0	0	0	31	20	50	1	14	3	66	66	94	62	60	85	0	3359704579	379722468	2453832705	2	0	4	0	0	0
1	5	5	0	1	0	5	58	64	58	80	80	65	9	9	45	2	320	0	0	0	31	20	50	1	14	3	66	66	94	142	110	190	0	3359704579	379722468	2453832705	2	0	4	0	0	0
1	6	6	0	1	0	6	78	84	78	100	109	85	9	2	45	3	768	0	0	0	31	20	50	1	14	3	66	66	94	267	170	905	0	3395372563	380525284	2990965769	2	2	4	0	0	0
1	7	7	0	1	1	7	44	48	65	43	50	64	10	10	45	1	16	0	0	0	31	20	50	1	2	3	67	67	44	63	50	90	0	3359846981	115415616	3259105792	6	0	7	0	0	0
1	8	8	0	1	1	8	59	63	80	58	65	80	10	10	45	2	1040	0	0	0	31	20	50	1	2	3	67	67	44	142	100	225	0	3359846981	115415616	3259105792	6	0	7	0	0	0
1	9	9	0	1	1	9	79	83	100	78	85	105	10	10	45	3	3072	0	0	0	31	20	50	1	2	3	67	67	44	265	160	855	0	3393417813	115939904	3326526088	14	4	7	0	0	0
