Although the item table has entries for TM00 and TM101+ (TR00+), the game only references TM01-TM100; using past game HMs as TMs.
The personal table indexes treat TM01 as the first bit (index 0)

itemNo	machineNo	wazaNo
328	1	264
329	2	337
330	3	352
331	4	347
332	5	46
333	6	92
334	7	258
335	8	339
336	9	331
337	10	526
338	11	241
339	12	269
340	13	58
341	14	59
342	15	63
343	16	113
344	17	182
345	18	240
346	19	202
347	20	219
348	21	605
349	22	76
350	23	231
351	24	85
352	25	87
353	26	89
354	27	490
355	28	91
356	29	94
357	30	247
358	31	280
359	32	104
360	33	115
361	34	351
362	35	53
363	36	188
364	37	201
365	38	126
366	39	317
367	40	332
368	41	259
369	42	263
370	43	521
371	44	156
372	45	213
373	46	168
374	47	211
375	48	285
376	49	503
377	50	315
378	51	355
379	52	411
380	53	412
381	54	206
382	55	362
383	56	374
384	57	451
385	58	203
386	59	406
387	60	409
388	61	261
389	62	405
390	63	417
391	64	153
392	65	421
393	66	371
394	67	278
395	68	416
396	69	397
397	70	148
398	71	444
399	72	419
400	73	86
401	74	360
402	75	14
403	76	446
404	77	244
405	78	555
406	79	399
407	80	157
408	81	404
409	82	214
410	83	523
411	84	398
412	85	138
413	86	447
414	87	207
415	88	365
416	89	369
417	90	164
418	91	430
419	92	433
420	93	15
421	94	19
422	95	57
423	96	70
424	97	432
425	98	249
426	99	127
427	100	431
1130	101	14
1131	102	34
1132	103	53
1133	104	56
1134	105	57
1135	106	58
1136	107	59
1137	108	67
1138	109	85
1139	110	87
1140	111	89
1141	112	94
1142	113	97
1143	114	116
1144	115	118
1145	116	126
1146	117	127
1147	118	133
1148	119	141
1149	120	161
1150	121	164
1151	122	179
1152	123	188
1153	124	191
1154	125	200
1155	126	473
1156	127	203
1157	128	214
1158	129	224
1159	130	226
1160	131	227
1161	132	231
1162	133	242
1163	134	247
1164	135	248
1165	136	253
1166	137	257
1167	138	269
1168	139	271
1169	140	276
1170	141	285
1171	142	299
1172	143	304
1173	144	315
1174	145	322
1175	146	330
1176	147	334
1177	148	337
1178	149	339
1179	150	347
1180	151	348
1181	152	349
1182	153	360
1183	154	370
1184	155	390
1185	156	394
1186	157	396
1187	158	398
1188	159	399
1189	160	402
1190	161	404
1191	162	405
1192	163	406
1193	164	408
1194	165	411
1195	166	412
1196	167	413
1197	168	414
1198	169	417
1199	170	428
1200	171	430
1201	172	437
1202	173	438
1203	174	441
1204	175	442
1205	176	444
1206	177	446
1207	178	447
1208	179	482
1209	180	484
1210	181	486
1211	182	492
1212	183	500
1213	184	502
1214	185	503
1215	186	526
1216	187	528
1217	188	529
1218	189	535
1219	190	542
1220	191	583
1221	192	599
1222	193	605
1223	194	663
1224	195	667
1225	196	675
1226	197	676
1227	198	706
1228	199	710
1229	200	776
1230	0	5
